State/ UT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total_acc
Andhra Pradesh,9679,10552,10534,12761,13549,13812,14770,15684,15165,14964,14171,7908,8297,8541,170387
Arunachal Pradesh,127,166,87,129,95,134,158,148,126,138,143,119,127,149,1846
Assam,1122,1288,1544,1841,1604,1807,1991,2256,2342,2291,2441,2522,2397,2572,28018
Bihar,2368,1791,1588,2396,3482,3940,4390,5137,5090,5056,5061,4913,5421,4901,55534
Chhattisgarh,1881,2060,2258,2374,2607,2966,2865,2956,2983,3167,3477,4022,4082,3908,41606
Goa,235,306,242,303,322,318,321,327,333,292,266,290,311,336,4202
Gujarat,5161,5423,5642,6161,6915,7070,6983,7506,8008,7817,7613,7955,8119,8136,98509
Haryana,3028,3417,3379,4012,4415,4494,4603,4719,4762,4446,4517,4483,4879,5024,60178
Himachal Pradesh,733,836,812,867,979,848,1140,1102,1072,1109,1054,1199,1096,1271,14118
Jammu & Kashmir,836,958,884,989,958,950,1100,1045,1116,1165,990,992,917,958,13858
Jharkhand,1699,1869,1919,1914,2081,1979,2170,2540,2572,2818,2706,2628,2893,3027,32815
Karnataka,6195,6496,6904,7973,8777,8814,8714,9590,8971,9448,10046,10452,10856,11133,124369
Kerala,2905,3059,3161,3627,3778,3901,3830,3950,4145,4286,4258,4049,4196,4287,53432
Madhya Pradesh,4523,4703,5327,5318,6671,6670,7365,8085,7869,8175,8588,8569,9314,9646,100823
Maharashtra,9483,9875,10259,11343,11212,12397,11396,12340,13057,13333,13029,12803,13212,12935,166674
Manipur,127,115,137,159,114,151,125,154,158,158,165,168,139,81,1951
Meghalaya,168,135,126,165,127,123,145,163,212,219,130,141,183,150,2187
Mizoram,76,59,59,64,50,63,60,82,81,77,97,103,72,70,1013
Nagaland,46,60,52,68,89,70,55,40,25,56,30,81,30,46,748
Odisha,2293,2454,2549,2755,3000,3079,3527,3837,3802,3701,4062,3931,4303,4463,47756
Punjab,2655,2580,2793,3052,3363,3206,3668,3542,4931,4820,4588,4621,4893,5077,53789
Rajasthan,6025,6477,6793,7154,8145,8388,9045,9163,9232,9528,9724,10289,10510,10465,120938
Sikkim,40,51,77,70,52,79,87,71,106,55,68,59,70,85,970
Tamil Nadu,9275,9507,9758,11009,12036,12784,13746,15409,15422,16175,15563,15190,15642,17218,188734
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6906,7110,7219,21235
Tripura,168,181,209,196,223,221,229,231,245,272,226,188,158,173,2920
Uttarakhand,756,931,868,975,992,1073,852,931,937,844,766,878,913,962,12678
Uttar Pradesh,7845,9946,9955,10851,11398,13165,14638,15175,21512,16149,16004,16287,17666,19320,199911
West Bengal,4361,4994,4727,4600,4745,4789,4860,5680,5664,5397,5504,5875,6234,6544,73974
Andaman & Nicobar Islands,12,15,23,22,23,22,33,27,17,25,40,23,23,17,322
Chandigarh,134,149,135,142,151,148,171,138,136,136,117,131,129,151,1968
Dadra & Nagar Haveli,34,54,55,45,66,65,45,62,63,53,49,59,42,46,738
Daman & Diu,19,24,24,27,29,29,33,31,33,29,31,15,42,38,404
Delhi,1801,1907,1862,2169,2141,2093,2325,2153,2065,1866,1820,1671,1622,1591,27086
Lakshadweep,0,0,0,1,0,0,2,0,0,0,0,0,0,1,4
Puducherry,188,180,226,217,255,212,218,239,233,193,228,151,235,244,3019
